place,lat,lng,formatted
Stade,53.599794,9.475438,"Stade, Lower Saxony, Germany"
Antwerp,51.2211097,4.3997081,"Antwerp, Belgium"
Middelburg,51.4997302,3.6136962,"4331BH Middelburg, The Netherlands"
London,51.5073219,-0.1276474,"London SW1A 2DU, United Kingdom"
Newbury,51.4020055,-1.3236425,"Newbury RG14 1DJ, United Kingdom"
Leiden,52.1518157,4.4811089,"Leiden, South Holland, The Netherlands"
Emden,53.3670442,7.2058004,"26721 Emden, Germany"
Bremen,53.0758196,8.8071646,"Bremen, Free and Hanseatic City of Bremen, Germany"
Amsterdam,52.3745403,4.8979755,"Amsterdam, North Holland, The Netherlands"
Copenhagen,55.6867243,12.5700724,"1357 Copenhagen, Denmark"
Stockholm,59.3251172,18.0710935,"11129 Stockholm, Sweden"
Haarlem,52.3837057,4.6435597,"Haarlem, North Holland, The Netherlands"
