id,place,lat,lng
1,Antwerp,51.2211097,4.3997081
2,Bremen,53.0758196,8.8071646
3,Cologne,50.938361,6.959974
4,Stade,53.599794,9.475438
5,Frankfurt,50.1106444,8.6820917
6,Utrecht,52.0809517,5.1276803
7,Leiden,52.1518157,4.4811089
8,Geertruidenberg,51.696467,4.8467431
9,Bergen op Zoom,51.4965864,4.2897408
10,The Hague,52.0799838,4.3113461
11,Dordrecht,51.7689546,4.6867891
12,Zevenbergen,51.6484352,4.6042057
13,Brussels,50.8465573,4.351697
14,Haarlem,52.3837057,4.6435597
15,Amsterdam,52.3745403,4.8979755
16,Hamburg,53.5437641,10.0099133
17,Emden,53.3670442,7.2058004
18,London,51.5073219,-0.1276474
19,Middelburg,51.4997302,3.6136962
20,Delft,51.9994572,4.3627245
21,Vlissingen,51.4943387,3.4150058
